subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,is_churned,is_active,account_name,industry,country,signup_date,referral_source,tenure_days,tenure_months,month,total_usage_events,total_usage_time,total_errors
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,False,False,False,True,monthly,True,1,0,Company_224,DevTools,UK,2023-08-26,event,111,3.7,2023-12,63.0,26418.0,2.0
S-0f6f44,A-9b9fe9,2024-06-11,,Pro,17,833,9996,False,False,False,False,monthly,True,0,1,Company_71,EdTech,AU,2023-09-28,other,597,19.9,2024-06,36.0,6819.0,6.0
S-51c0d1,A-659280,2024-11-25,,Enterprise,62,0,0,True,True,False,False,annual,False,0,1,Company_417,FinTech,IN,2023-11-17,event,430,14.3,2024-11,25.0,13877.0,2.0
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,False,False,False,True,monthly,True,1,0,Company_295,Cybersecurity,US,2024-06-23,event,20,0.7,2024-11,65.0,22943.0,5.0
S-cff5a2,A-ba6516,2024-01-10,,Enterprise,27,5373,64476,False,False,False,False,monthly,True,0,1,Company_154,FinTech,US,2023-10-29,ads,750,25.0,2024-01,0.0,0.0,0.0
S-4b9b13,A-fa2041,2024-08-13,,Pro,15,735,8820,False,False,False,False,monthly,True,0,1,Company_211,HealthTech,US,2024-05-29,organic,534,17.8,2024-08,49.0,12581.0,2.0
S-dceac6,A-417d2f,2023-12-30,,Enterprise,4,796,9552,False,False,False,False,annual,True,0,1,Company_285,Cybersecurity,IN,2023-07-04,partner,761,25.4,2023-12,33.0,13929.0,2.0
S-8cad7b,A-5f2961,2024-12-23,,Basic,16,304,3648,False,False,False,False,annual,True,0,1,Company_284,HealthTech,US,2024-11-22,partner,402,13.4,2024-12,39.0,14245.0,2.0
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577,54924,False,False,False,False,annual,False,0,1,Company_482,DevTools,US,2024-06-16,ads,428,14.3,2024-11,61.0,12773.0,3.0
S-d0c344,A-80eeb6,2024-10-27,,Pro,22,1078,12936,False,False,False,False,annual,False,0,1,Company_402,Cybersecurity,UK,2023-05-09,organic,459,15.3,2024-10,67.0,24269.0,8.0
S-477506,A-f03140,2024-02-06,,Pro,27,1323,15876,False,False,False,False,annual,True,0,1,Company_209,DevTools,IN,2023-11-22,event,723,24.1,2024-02,93.0,33007.0,6.0
S-79a9e1,A-3a5ad8,2024-12-25,,Enterprise,22,0,0,True,False,False,False,annual,True,0,1,Company_94,HealthTech,US,2023-12-05,organic,400,13.3,2024-12,14.0,4036.0,0.0
S-59dc4b,A-f17767,2023-09-17,,Pro,26,1274,15288,False,True,True,False,monthly,True,0,1,Company_123,DevTools,US,2023-01-30,event,865,28.8,2023-09,67.0,35026.0,6.0
S-7acd8b,A-7920cc,2024-07-17,,Basic,39,741,8892,False,False,False,False,annual,True,0,1,Company_412,Cybersecurity,FR,2023-11-23,ads,561,18.7,2024-07,66.0,15084.0,1.0
S-428e9a,A-8ae3fc,2024-10-12,,Enterprise,88,0,0,True,False,False,False,monthly,True,0,1,Company_495,DevTools,CA,2024-06-28,ads,474,15.8,2024-10,37.0,15929.0,4.0
S-486088,A-0cc442,2024-09-18,,Pro,45,2205,26460,False,False,False,False,monthly,True,0,1,Company_198,EdTech,US,2024-07-18,organic,498,16.6,2024-09,75.0,26351.0,2.0
S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,1,0,Company_169,HealthTech,IN,2023-05-02,other,379,12.6,2023-07,91.0,27744.0,7.0
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,1,0,Company_274,EdTech,US,2024-03-01,partner,68,2.3,2024-06,50.0,18476.0,1.0
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95,1140,False,False,False,False,monthly,True,0,1,Company_344,HealthTech,US,2024-04-05,event,644,21.5,2024-04,19.0,5716.0,0.0
S-b17d04,A-e19ff6,2024-03-06,,Pro,8,392,4704,False,False,False,False,monthly,True,0,1,Company_411,Cybersecurity,UK,2023-07-28,partner,694,23.1,2024-03,32.0,9121.0,6.0
S-c27134,A-dec005,2024-03-31,,Pro,21,0,0,True,False,False,False,monthly,True,0,1,Company_445,HealthTech,US,2023-10-13,partner,669,22.3,2024-03,33.0,8840.0,2.0
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,1,0,Company_108,FinTech,CA,2023-08-13,other,23,0.8,2024-12,29.0,8277.0,0.0
S-82989b,A-f5641b,2024-11-30,,Basic,31,589,7068,False,False,False,False,monthly,True,0,1,Company_382,EdTech,US,2024-03-30,other,425,14.2,2024-11,35.0,11574.0,1.0
S-082b15,A-aa9511,2024-02-09,,Enterprise,97,19303,231636,False,False,False,False,annual,True,0,1,Company_203,DevTools,US,2023-10-10,other,720,24.0,2024-02,15.0,4161.0,0.0
S-434140,A-075038,2024-02-25,,Pro,17,833,9996,False,False,False,False,annual,True,0,1,Company_397,HealthTech,UK,2023-05-12,ads,704,23.5,2024-02,77.0,23055.0,5.0
S-c07ede,A-cea1f0,2024-10-07,,Pro,8,392,4704,False,False,False,False,annual,False,0,1,Company_273,FinTech,US,2024-04-07,event,479,16.0,2024-10,24.0,3954.0,1.0
S-287914,A-a1b80b,2024-08-15,,Pro,16,784,9408,False,False,False,False,annual,True,0,1,Company_184,HealthTech,US,2023-11-27,organic,532,17.7,2024-08,67.0,15295.0,6.0
S-b3bd43,A-b2225d,2024-11-03,,Pro,50,2450,29400,False,False,False,False,monthly,False,0,1,Company_50,FinTech,US,2024-03-08,ads,452,15.1,2024-11,84.0,28144.0,8.0
S-4c82da,A-b9eed8,2024-08-01,,Pro,11,539,6468,False,False,False,False,monthly,False,0,1,Company_189,Cybersecurity,US,2024-02-23,organic,546,18.2,2024-08,59.0,14403.0,6.0
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,1,0,Company_288,FinTech,US,2024-06-27,event,37,1.2,2024-08,73.0,20907.0,5.0
S-b5643b,A-9f9299,2024-06-11,,Enterprise,28,5572,66864,False,False,False,False,annual,False,0,1,Company_133,FinTech,US,2023-09-02,organic,597,19.9,2024-06,58.0,20209.0,6.0
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969,11628,False,False,False,False,annual,True,0,1,Company_151,HealthTech,DE,2023-01-11,organic,958,31.9,2023-06,21.0,1995.0,2.0
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0,0,True,True,True,False,monthly,True,0,1,Company_117,FinTech,US,2023-06-06,event,580,19.3,2024-06,59.0,17410.0,1.0
S-8c10c1,A-0651a4,2024-12-25,,Enterprise,65,12935,155220,False,False,False,False,annual,True,0,1,Company_255,HealthTech,FR,2024-10-16,organic,400,13.3,2024-12,49.0,13689.0,5.0
S-d7d398,A-fb186e,2024-12-28,,Enterprise,29,0,0,True,False,False,False,annual,True,0,1,Company_131,EdTech,IN,2024-10-27,organic,397,13.2,2024-12,124.0,37040.0,3.0
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0,0,True,False,False,False,annual,False,0,1,Company_235,EdTech,US,2024-03-27,ads,587,19.6,2024-06,89.0,26898.0,0.0
S-6762fa,A-40a557,2024-02-12,,Enterprise,16,3184,38208,False,False,False,False,annual,True,0,1,Company_86,Cybersecurity,AU,2023-12-03,partner,717,23.9,2024-02,61.0,18545.0,2.0
S-bb1cf1,A-3a5ad8,2024-09-07,,Enterprise,9,0,0,True,True,False,False,monthly,False,0,1,Company_94,HealthTech,US,2023-12-05,organic,509,17.0,2024-09,40.0,8803.0,3.0
S-a805a5,A-2789e3,2024-09-18,,Basic,33,627,7524,False,False,False,False,monthly,True,0,1,Company_268,FinTech,US,2024-09-14,partner,498,16.6,2024-09,53.0,15039.0,4.0
S-da0a69,A-49b828,2023-05-11,,Pro,6,294,3528,False,False,False,False,monthly,True,0,1,Company_391,FinTech,IN,2023-05-05,ads,994,33.1,2023-05,93.0,21277.0,6.0
S-59c5d7,A-c16b88,2024-10-19,,Basic,35,665,7980,False,True,False,False,monthly,True,0,1,Company_431,HealthTech,US,2023-12-02,event,467,15.6,2024-10,70.0,17401.0,2.0
S-d3faae,A-5c9849,2024-11-12,,Basic,19,361,4332,False,False,False,False,monthly,True,0,1,Company_362,EdTech,IN,2024-11-03,partner,443,14.8,2024-11,0.0,0.0,0.0
S-73a4e4,A-993085,2024-09-09,,Pro,31,1519,18228,False,False,False,False,monthly,True,0,1,Company_258,HealthTech,US,2023-06-01,ads,507,16.9,2024-09,58.0,25109.0,4.0
S-35c8a3,A-e4144b,2024-12-22,,Enterprise,41,8159,97908,False,False,False,False,annual,True,0,1,Company_316,EdTech,UK,2024-10-22,other,403,13.4,2024-12,33.0,7866.0,1.0
S-99fbf7,A-7dacce,2024-09-10,,Enterprise,12,2388,28656,False,False,False,False,annual,True,0,1,Company_8,Cybersecurity,CA,2024-09-10,event,506,16.9,2024-09,65.0,18861.0,2.0
S-e97b9f,A-a0ca4e,2024-03-16,,Enterprise,12,2388,28656,False,False,False,False,annual,True,0,1,Company_6,Cybersecurity,US,2024-03-08,ads,684,22.8,2024-03,30.0,11788.0,4.0
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437,5244,False,False,True,False,annual,False,0,1,Company_274,EdTech,US,2024-03-01,partner,553,18.4,2024-07,68.0,30204.0,3.0
S-323782,A-7920cc,2024-02-22,,Basic,39,741,8892,False,False,False,False,monthly,True,0,1,Company_412,Cybersecurity,FR,2023-11-23,ads,707,23.6,2024-02,29.0,9042.0,0.0
S-1cff18,A-2789e3,2024-10-03,,Basic,11,209,2508,False,False,False,False,monthly,True,0,1,Company_268,FinTech,US,2024-09-14,partner,483,16.1,2024-10,46.0,12807.0,9.0
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0,0,True,True,False,False,annual,True,0,1,Company_317,HealthTech,US,2024-04-18,organic,522,17.4,2024-08,39.0,13353.0,3.0
S-bf806d,A-7c5768,2024-09-21,,Basic,62,1178,14136,False,False,False,False,annual,True,0,1,Company_407,HealthTech,UK,2024-03-02,event,495,16.5,2024-09,38.0,14918.0,4.0
S-36f6ec,A-ccb686,2024-08-16,,Pro,21,1029,12348,False,True,False,False,monthly,True,0,1,Company_491,DevTools,US,2024-01-22,other,531,17.7,2024-08,34.0,11945.0,0.0
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,1,0,Company_356,Cybersecurity,US,2023-05-28,other,350,11.7,2024-01,64.0,18823.0,2.0
S-b9fc6c,A-2ebb4b,2023-06-16,,Basic,41,779,9348,False,False,False,False,annual,True,0,1,Company_334,HealthTech,US,2023-05-15,ads,958,31.9,2023-06,44.0,11312.0,6.0
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,1,0,Company_194,Cybersecurity,UK,2024-06-14,event,60,2.0,2024-09,75.0,24874.0,7.0
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522,186264,False,False,False,False,monthly,True,0,1,Company_326,EdTech,US,2023-12-08,ads,779,26.0,2023-12,47.0,12795.0,1.0
S-fef85a,A-7f8241,2024-08-06,,Pro,34,1666,19992,False,False,False,False,annual,True,0,1,Company_42,EdTech,US,2023-03-14,organic,541,18.0,2024-08,69.0,9246.0,3.0
S-36d5c9,A-54ecc2,2023-09-16,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,0,1,Company_289,Cybersecurity,US,2023-06-11,partner,866,28.9,2023-09,86.0,24459.0,5.0
S-b9ff15,A-95b24a,2024-01-08,,Enterprise,43,8557,102684,False,False,False,False,annual,False,0,1,Company_117,FinTech,US,2023-06-06,event,752,25.1,2024-01,53.0,18601.0,0.0
S-10bd09,A-bbc346,2024-09-03,,Basic,50,950,11400,False,False,False,False,annual,True,0,1,Company_138,FinTech,US,2024-08-29,partner,513,17.1,2024-09,42.0,9279.0,0.0
S-12bfc8,A-31ab9a,2024-12-06,,Enterprise,29,5771,69252,False,False,False,False,monthly,False,0,1,Company_460,FinTech,DE,2024-03-03,organic,419,14.0,2024-12,60.0,30674.0,0.0
S-f5c472,A-faa28c,2024-07-09,,Basic,48,912,10944,False,False,False,False,monthly,True,0,1,Company_91,HealthTech,US,2024-01-30,organic,569,19.0,2024-07,28.0,2864.0,0.0
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786,33432,False,False,False,False,annual,True,0,1,Company_300,EdTech,US,2024-02-11,event,645,21.5,2024-04,34.0,9293.0,5.0
S-dc6dfd,A-e08cd3,2024-09-30,,Pro,67,3283,39396,False,False,False,False,monthly,True,0,1,Company_475,FinTech,US,2024-09-21,ads,486,16.2,2024-09,33.0,10489.0,3.0
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,False,False,False,True,annual,False,1,0,Company_288,FinTech,US,2024-06-27,event,106,3.5,2024-08,57.0,20913.0,2.0
S-9dfce0,A-e6afc1,2024-08-30,,Pro,2,98,1176,False,False,False,False,annual,True,0,1,Company_346,DevTools,US,2023-02-24,ads,517,17.2,2024-08,58.0,9624.0,0.0
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779,9348,False,False,False,False,monthly,True,0,1,Company_386,Cybersecurity,UK,2024-09-18,event,404,13.5,2024-12,14.0,4186.0,0.0
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0,0,True,False,False,False,monthly,True,0,1,Company_256,FinTech,IN,2023-09-07,ads,494,16.5,2024-09,85.0,29973.0,4.0
S-8c3cc8,A-b2225d,2024-10-17,,Basic,47,0,0,True,False,False,False,monthly,True,0,1,Company_50,FinTech,US,2024-03-08,ads,469,15.6,2024-10,35.0,9130.0,3.0
S-2923fc,A-fa3095,2024-07-08,,Enterprise,70,13930,167160,False,False,False,False,annual,True,0,1,Company_174,FinTech,US,2023-09-03,ads,570,19.0,2024-07,87.0,27528.0,5.0
S-f0a2e5,A-55f257,2024-06-05,,Basic,23,0,0,True,False,False,False,annual,True,0,1,Company_496,FinTech,US,2023-12-21,organic,603,20.1,2024-06,49.0,16855.0,2.0
S-025bea,A-9affe6,2024-06-25,,Pro,17,833,9996,False,True,False,False,monthly,True,0,1,Company_401,Cybersecurity,US,2023-03-22,other,583,19.4,2024-06,55.0,19774.0,0.0
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784,9408,False,False,False,False,annual,False,0,1,Company_182,DevTools,DE,2023-11-08,other,530,17.7,2024-08,20.0,8835.0,0.0
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,1,0,Company_95,HealthTech,US,2023-11-04,event,48,1.6,2024-10,49.0,15046.0,2.0
S-b5b9a5,A-812c5b,2024-07-25,,Basic,55,1045,12540,False,False,False,False,monthly,True,0,1,Company_395,DevTools,CA,2024-02-25,organic,553,18.4,2024-07,49.0,13658.0,3.0
S-8e45ba,A-7f8241,2023-12-13,,Basic,34,646,7752,False,False,False,False,annual,False,0,1,Company_42,EdTech,US,2023-03-14,organic,778,25.9,2023-12,78.0,23488.0,4.0
S-37ed34,A-d4ac0e,2024-07-07,,Enterprise,20,3980,47760,False,False,False,False,annual,True,0,1,Company_364,DevTools,UK,2024-04-20,ads,571,19.0,2024-07,30.0,10263.0,4.0
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684,8208,False,False,False,False,monthly,True,0,1,Company_162,HealthTech,US,2024-12-26,organic,397,13.2,2024-12,25.0,9045.0,0.0
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,1,0,Company_2,DevTools,US,2024-08-27,organic,3,0.1,2024-12,80.0,24319.0,5.0
S-6c969d,A-855a48,2024-05-08,,Basic,14,266,3192,False,False,False,False,monthly,False,0,1,Company_389,EdTech,US,2023-12-22,partner,631,21.0,2024-05,50.0,14290.0,1.0
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196,2352,False,False,False,False,annual,True,0,1,Company_44,FinTech,IN,2024-07-06,other,525,17.5,2024-08,14.0,3374.0,0.0
S-82db05,A-417d2f,2024-12-09,,Pro,26,1274,15288,False,False,False,False,monthly,True,0,1,Company_285,Cybersecurity,IN,2023-07-04,partner,416,13.9,2024-12,43.0,11259.0,3.0
